velocidad_bala,distancia,salto
-6.0,964.0,0
-6.0,958.0,0
-6.0,952.0,0
-6.0,946.0,0
-6.0,940.0,0
-6.0,934.0,0
-6.0,928.0,0
-6.0,922.0,0
-6.0,916.0,0
-6.0,910.0,0
-6.0,904.0,0
-6.0,898.0,0
-6.0,892.0,0
-6.0,886.0,0
-6.0,880.0,0
-6.0,874.0,0
-6.0,868.0,0
-6.0,862.0,0
-6.0,856.0,0
-6.0,850.0,0
-6.0,844.0,0
-6.0,838.0,0
-6.0,832.0,0
-6.0,826.0,0
-6.0,820.0,0
-6.0,814.0,0
-6.0,808.0,0
-6.0,802.0,0
-6.0,796.0,0
-6.0,790.0,0
-6.0,784.0,0
-6.0,778.0,0
-6.0,772.0,0
-6.0,766.0,0
-6.0,760.0,0
-6.0,754.0,0
-6.0,748.0,0
-6.0,742.0,0
-6.0,736.0,0
-6.0,730.0,0
-6.0,724.0,0
-6.0,718.0,0
-6.0,712.0,0
-6.0,706.0,0
-6.0,700.0,0
-6.0,694.0,0
-6.0,688.0,0
-6.0,682.0,0
-6.0,676.0,0
-6.0,670.0,0
-6.0,664.0,0
-6.0,658.0,0
-6.0,652.0,0
-6.0,646.0,0
-6.0,640.0,0
-6.0,634.0,0
-6.0,628.0,0
-6.0,622.0,0
-6.0,616.0,0
-6.0,610.0,0
-6.0,604.0,0
-6.0,598.0,0
-6.0,592.0,0
-6.0,586.0,0
-6.0,580.0,0
-6.0,574.0,0
-6.0,568.0,0
-6.0,562.0,0
-6.0,556.0,0
-6.0,550.0,0
-6.0,544.0,0
-6.0,538.0,0
-6.0,532.0,0
-6.0,526.0,0
-6.0,520.0,0
-6.0,514.0,0
-6.0,508.0,0
-6.0,502.0,0
-6.0,496.0,0
-6.0,490.0,0
-6.0,484.0,0
-6.0,478.0,0
-6.0,472.0,0
-6.0,466.0,0
-6.0,460.0,0
-6.0,454.0,0
-6.0,448.0,0
-6.0,442.0,0
-6.0,436.0,0
-6.0,430.0,0
-6.0,424.0,0
-6.0,418.0,0
-6.0,412.0,0
-6.0,406.0,0
-6.0,400.0,0
-6.0,394.0,0
-6.0,388.0,0
-6.0,382.0,0
-6.0,376.0,0
-6.0,370.0,0
-6.0,364.0,0
-6.0,358.0,0
-6.0,352.0,0
-6.0,346.0,0
-6.0,340.0,0
-6.0,334.0,0
-6.0,328.0,0
-6.0,322.0,0
-6.0,316.0,0
-6.0,310.0,0
-6.0,304.0,0
-6.0,298.0,0
-6.0,292.0,0
-6.0,286.0,0
-6.0,280.0,0
-6.0,274.0,0
-6.0,268.0,0
-6.0,262.0,0
-6.0,256.0,0
-6.0,250.0,0
-6.0,244.0,0
-6.0,238.0,0
-6.0,232.0,0
-6.0,226.0,0
-6.0,220.0,0
-6.0,214.0,0
-6.0,208.0,0
-6.0,202.0,0
-6.0,196.0,0
-6.0,190.0,0
-6.0,184.0,0
-6.0,178.0,0
-6.0,172.0,0
-6.0,166.0,0
-6.0,160.0,0
-6.0,154.0,0
-6.0,148.0,0
-6.0,142.0,0
-6.0,136.0,0
-6.0,130.0,0
-6.0,124.0,0
-6.0,118.0,0
-6.0,112.0,0
-6.0,106.0,0
-6.0,100.0,0
-6.0,94.0,0
-6.0,88.0,0
-6.0,82.0,0
-6.0,76.0,0
-6.0,70.0,0
-6.0,64.0,1
-6.0,58.0,1
-6.0,52.0,1
-6.0,46.0,1
-6.0,40.0,1
-6.0,34.0,1
-6.0,28.0,1
-6.0,22.0,1
-6.0,16.0,1
-6.0,10.0,1
-6.0,4.0,1
-6.0,2.0,1
-6.0,8.0,1
-6.0,14.0,1
-6.0,20.0,1
-6.0,26.0,1
-6.0,32.0,1
-6.0,38.0,1
-6.0,44.0,1
-6.0,50.0,1
-6.0,56.0,1
-6.0,62.0,1
-6.0,68.0,1
-13.0,957.0,1
-13.0,944.0,1
-13.0,931.0,1
-13.0,918.0,1
-13.0,905.0,1
-13.0,892.0,1
-13.0,879.0,1
-13.0,866.0,1
-13.0,853.0,0
-13.0,840.0,0
-13.0,827.0,0
-13.0,814.0,0
-13.0,801.0,0
-13.0,788.0,0
-13.0,775.0,0
-13.0,762.0,0
-13.0,749.0,0
-13.0,736.0,0
-13.0,723.0,0
-13.0,710.0,0
-13.0,697.0,0
-13.0,684.0,0
-13.0,671.0,0
-13.0,658.0,0
-13.0,645.0,0
-13.0,632.0,0
-13.0,619.0,0
-13.0,606.0,0
-13.0,593.0,0
-13.0,580.0,0
-13.0,567.0,0
-13.0,554.0,0
-13.0,541.0,0
-13.0,528.0,0
-13.0,515.0,0
-13.0,502.0,0
-13.0,489.0,0
-13.0,476.0,0
-13.0,463.0,0
-13.0,450.0,0
-13.0,437.0,0
-13.0,424.0,0
-13.0,411.0,0
-13.0,398.0,0
-13.0,385.0,0
-13.0,372.0,0
-13.0,359.0,0
-13.0,346.0,0
-13.0,333.0,0
-13.0,320.0,0
-13.0,307.0,0
-13.0,294.0,0
-13.0,281.0,0
-13.0,268.0,0
-13.0,255.0,0
-13.0,242.0,0
-13.0,229.0,0
-13.0,216.0,0
-13.0,203.0,0
-13.0,190.0,1
-13.0,177.0,1
-13.0,164.0,1
-13.0,151.0,1
-13.0,138.0,1
-13.0,125.0,1
-13.0,112.0,1
-13.0,99.0,1
-13.0,86.0,1
-13.0,73.0,1
-13.0,60.0,1
-13.0,47.0,1
-13.0,34.0,1
-13.0,21.0,1
-13.0,8.0,1
-13.0,5.0,1
-13.0,18.0,1
-13.0,31.0,1
-13.0,44.0,1
-13.0,57.0,1
-13.0,70.0,1
-12.0,958.0,1
-12.0,946.0,1
-12.0,934.0,1
-12.0,922.0,1
-12.0,910.0,1
-12.0,898.0,1
-12.0,886.0,1
-12.0,874.0,1
-12.0,862.0,1
-12.0,850.0,1
-12.0,838.0,0
-12.0,826.0,0
-12.0,814.0,0
-12.0,802.0,0
-12.0,790.0,0
-12.0,778.0,0
-12.0,766.0,0
-12.0,754.0,0
-12.0,742.0,0
-12.0,730.0,0
-12.0,718.0,0
-12.0,706.0,0
-12.0,694.0,0
-12.0,682.0,0
-12.0,670.0,0
-12.0,658.0,0
-12.0,646.0,0
-12.0,634.0,0
-12.0,622.0,0
-12.0,610.0,0
-12.0,598.0,0
-12.0,586.0,0
-12.0,574.0,0
-12.0,562.0,0
-12.0,550.0,0
-12.0,538.0,0
-12.0,526.0,0
-12.0,514.0,0
-12.0,502.0,0
-12.0,490.0,0
-12.0,478.0,0
-12.0,466.0,0
-12.0,454.0,0
-12.0,442.0,0
-12.0,430.0,0
-12.0,418.0,0
-12.0,406.0,0
-12.0,394.0,0
-12.0,382.0,0
-12.0,370.0,0
-12.0,358.0,0
-12.0,346.0,0
-12.0,334.0,0
-12.0,322.0,0
-12.0,310.0,0
-12.0,298.0,0
-12.0,286.0,0
-12.0,274.0,0
-12.0,262.0,0
-12.0,250.0,0
-12.0,238.0,0
-12.0,226.0,0
-12.0,214.0,0
-12.0,202.0,0
-12.0,190.0,0
-12.0,178.0,0
-12.0,166.0,0
-12.0,154.0,1
-12.0,142.0,1
-12.0,130.0,1
-12.0,118.0,1
-12.0,106.0,1
-12.0,94.0,1
-12.0,82.0,1
-12.0,70.0,1
-12.0,58.0,1
-12.0,46.0,1
-12.0,34.0,1
-12.0,22.0,1
-12.0,10.0,1
-12.0,2.0,1
-12.0,14.0,1
-12.0,26.0,1
-12.0,38.0,1
-12.0,50.0,1
-12.0,62.0,1
-13.0,957.0,1
-13.0,944.0,1
-13.0,931.0,1
-13.0,918.0,1
-13.0,905.0,1
-13.0,892.0,1
-13.0,879.0,1
-13.0,866.0,1
-13.0,853.0,1
-13.0,840.0,1
-13.0,827.0,1
-13.0,814.0,1
-13.0,801.0,0
-13.0,788.0,0
-13.0,775.0,0
-13.0,762.0,0
-13.0,749.0,0
-13.0,736.0,0
-13.0,723.0,0
-13.0,710.0,0
-13.0,697.0,0
-13.0,684.0,0
-13.0,671.0,0
-13.0,658.0,0
-13.0,645.0,0
-13.0,632.0,0
